ID	Pergunta	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Resposta Correta	Dica	Dificuldade
142	Qual aspecto da avaliação escolar tradicional entra em conflito direto com os princípios da Aprendizagem Criativa?	A ênfase na documentação do processo de erro e depuração como evidência de aprendizagem.	O uso predominante de testes somativos de múltipla escolha que focam na reprodução isolada de respostas corretas predefinidas e na padronização temporal.	A valorização do portfólio de projetos, que demonstra a trajetória de evolução cognitiva do estudante ao longo do semestre.	A aplicação de rubricas qualitativas que avaliam a colaboração, a perseverança e a originalidade na resolução de problemas práticos.	Alternativa B	Avaliações rígidas e pontuais não conseguem mensurar competências como iteração, criatividade e pensamento sistêmico.	Média
143	No ensino de robótica fundamentado no Construcionismo, a fase de "design físico" (construir a estrutura do robô) e a fase de "programação" (escrever o código) devem ocorrer:	De forma sequencial estrita; o código só pode ser iniciado após a estrutura física estar concluída e aprovada pelo professor.	De forma totalmente independente, onde alunos diferentes realizam tarefas exclusivas sem cruzamento de informações.	De forma integrada e iterativa; ajustes físicos muitas vezes exigem mudanças no código, e limitações no código exigem adaptações mecânicas na estrutura.	Apenas virtualmente, eliminando o design físico para evitar gastos com materiais consumíveis.	Alternativa C	Os mundos de hardware e software estão acoplados e o feedback de um informa o desenvolvimento do outro.	Média
144	O termo "Tecnocentrismo", criticado por Seymour Papert, define-se pela crença de que:	A introdução de computadores, por si só, possui a capacidade intrínseca de modificar a educação, focando na tecnologia e negligenciando as mudanças na cultura e pedagogia.	O centro da sala de aula deve ser sempre ocupado pela mesa do professor, com os computadores dispostos nas extremidades contra a parede.	Apenas disciplinas técnicas possuem valor acadêmico no século XXI, justificando a exclusão de áreas de ciências humanas.	A tecnologia deve ser evitada em fases iniciais da educação para não prejudicar o desenvolvimento motor da criança.	Alternativa A	Atribuir à ferramenta o poder de transformação que pertence à abordagem metodológica e ao contexto humano.	Difícil
145	Por que o pilar "Pares" (Peers) não se limita apenas ao trabalho em equipe na mesma mesa física?	Porque restringe a comunicação apenas a alunos da mesma faixa etária dentro do mesmo ano escolar.	Porque a aprendizagem criativa não permite a colaboração presencial, apenas o trabalho remoto e assíncrono.	Porque abrange a participação em comunidades globais (como a comunidade online do Scratch), onde ocorre troca de inspiração, suporte técnico e remixagem cultural.	Porque o conceito obriga a escola a realizar competições interescolares para validar os projetos desenvolvidos localmente.	Alternativa C	A rede de colaboração expande-se para além dos muros da escola através de repositórios digitais e fóruns de compartilhamento.	Fácil
146	Qual é a função do "Feedback" no ciclo iterativo da Aprendizagem Criativa?	Informar ao aluno imediatamente sua nota final, encerrando sua participação no projeto em andamento.	Atuar como um dado corretivo e inspirador, originado do sistema, de pares ou facilitadores, essencial para o refinamento e a complexificação da próxima versão do projeto.	Registrar as falhas do aluno no sistema de gestão escolar para análise punitiva do conselho de classe bimestral.	Garantir que o aluno memorize a resposta correta sem a necessidade de investigar a origem do erro estrutural.	Alternativa B	Sem o retorno de informações sobre a ação realizada, não há parâmetro para a iteração e o aprimoramento contínuo.	Média
147	Em um contexto de "Tinkering", a atividade de desmontar brinquedos ou eletrônicos antigos (take apart) é pedagogicamente valiosa porque:	Permite o reaproveitamento de componentes internos na construção de novas invenções, além de desmistificar o funcionamento interno de "caixas pretas" tecnológicas.	Serve exclusivamente para o treinamento vocacional precoce de técnicos de manutenção de hardwares industriais locais.	Reduz os custos com o serviço de limpeza e coleta de lixo eletrônico da instituição educacional e de sua comunidade do entorno.	Ensina os alunos sobre os riscos de choque elétrico e a proibição de manipular aparelhos fora da garantia do fabricante original.	Alternativa A	Compreender como os sistemas são montados é o primeiro passo para subvertê-los e criar algo novo a partir de suas partes.	Média
148	O que diferencia o "pensamento algorítmico" tradicional do "pensamento sistêmico" fomentado por simulações descentralizadas como o NetLogo?	O pensamento algorítmico lida com instruções sequenciais lineares; o sistêmico lida com padrões macroscópicos que emergem de múltiplas interações locais simultâneas (emergência).	O pensamento sistêmico é restrito a operações de matemática discreta, enquanto o algorítmico foca em geometria fractal.	Não há diferença substancial, ambos requerem o uso de equações diferenciais lineares em linguagens procedurais clássicas.	O pensamento sistêmico é uma abordagem instrucionista desatualizada que foi completamente substituída pelo pensamento algorítmico moderno.	Alternativa A	Pense na diferença entre ditar passos exatos para um único robô versus definir regras simples para centenas de agentes que atuam em conjunto.	Difícil
149	O conceito de "Hard Fun" contesta qual pressuposto comum sobre a motivação educacional na infância?	A ideia de que a educação precisa ser dividida em momentos de esforço punitivo e recreação livre compensatória.	A premissa de que a aprendizagem só ocorre de forma otimizada em ambientes com silêncio absoluto e controle físico dos estudantes.	A teoria de que as crianças sempre evitam atividades difíceis e preferem naturalmente tarefas fáceis, repetitivas e com baixo nível de desafio cognitivo.	A concepção de que o hardware utilizado nas escolas públicas brasileiras deve ser sempre de baixo custo e com especificações limitadas para evitar furtos.	Alternativa C	A observação de crianças programando ou jogando videogames complexos demonstra que o desafio elevado atrai quando a motivação é intrínseca.	Média
150	Ao projetar atividades de Aprendizagem Criativa, a instrução para o facilitador de "ser um co-aprendiz" significa:	Omitir intencionalmente o próprio conhecimento prévio para forçar os alunos a pesquisarem em fontes primárias textuais na biblioteca da escola sem orientação metodológica.	Posicionar-se abertamente como investigador junto com o aluno perante problemas inéditos (ex: um erro de sensor), modelando a atitude de descoberta, o método científico e a tolerância à incerteza.	Abdicar de qualquer planejamento pedagógico prévio e permitir que a dinâmica da sala de aula seja ditada exclusivamente por variáveis aleatórias e demandas espontâneas dos estudantes.	Adotar um comportamento infantizado durante a mediação para nivelar a autoridade em sala de aula e evitar conflitos disciplinares com os jovens participantes.	Alternativa B	A demonstração prática de como lidar com o desconhecido ensina resiliência e a aplicação de técnicas de depuração (debugging).	Fácil
151	A epistemologia construcionista argumenta que a aquisição do conhecimento ocorre de forma mais eficaz quando:	O aprendiz atua como construtor ativo do seu próprio conhecimento, mediado pela criação de um artefato físico ou digital significativo.	O aluno memoriza os fatos apresentados em aulas expositivas padronizadas.	A instituição de ensino utiliza testes de repetição espaçada em plataformas instrucionais.	O professor detém o monopólio da informação e a repassa linearmente.	Alternativa A	O foco central é a autoria e a materialização do raciocínio em um produto.	Média
152	Na visão de Seymour Papert, o aprendizado da linguagem Logo pela criança inverte qual paradigma tradicional da educação computacional?	A criança passa a programar o computador, em vez de o computador programar a criança por meio de rotinas de perguntas e respostas pré-definidas.	O computador assume o papel de tutor implacável, reduzindo a intervenção humana.	As aulas de programação tornam-se exclusivas para o ensino médio, retirando o acesso do ensino fundamental.	A geometria passa a ser ensinada sem qualquer representação visual, focando apenas no formalismo algébrico.	Alternativa A	Trata-se da mudança de agência: quem está no controle da máquina.	Média
153	O termo "Pisos Baixos" (Low Floors) aplicado ao design do Scratch garante que:	A interface e a lógica de montagem em blocos minimizam barreiras iniciais de sintaxe, permitindo que iniciantes criem projetos funcionais rapidamente.	O software exija computadores com baixo poder de processamento gráfico.	O sistema restrinja a criação de variáveis complexas e estruturas de repetição aninhadas.	Os usuários sejam impedidos de visualizar códigos mais avançados criados pela comunidade.	Alternativa A	Refere-se à redução do atrito cognitivo e técnico nos primeiros contatos com a ferramenta.	Fácil
154	Em tecnologias de Aprendizagem Criativa, os "Tetos Altos" (High Ceilings) referem-se à capacidade de:	Uma plataforma suportar a evolução do aluno para a elaboração de projetos complexos e sofisticados à medida que sua fluência aumenta.	Impor limites rigorosos no tamanho do código para economizar armazenamento em servidores escolares.	Exigir hardware de alto custo para a execução básica de rotinas simples.	Definir uma idade máxima permitida para a utilização do software em ambientes escolares.	Alternativa A	Trata-se da ausência de limitações prematuras no potencial da ferramenta educacional.	Média
155	A metáfora "Lifelong Kindergarten" (Jardim de Infância para a Vida Toda) baseia-se na premissa de que:	A metodologia de aprendizagem focada em exploração lúdica, construção com blocos e compartilhamento deve ser aplicada em todos os níveis educacionais e profissionais.	As crianças devem ser expostas a metodologias de ensino superior desde os primeiros anos de vida escolar.	A educação infantil deve priorizar a memorização mecânica para preparar os alunos para exames padronizados precocemente.	Adultos perdem completamente a capacidade criativa, justificando o foco exclusivo em capacitação técnica utilitarista.	Alternativa A	A espiral de criação do jardim de infância é um modelo contínuo de inovação.	Média
156	O conceito de "Hard Fun" (Diversão Difícil) ilustra uma situação de aprendizagem na qual:	O estudante demonstra alto engajamento, persistência e satisfação ao enfrentar e superar problemas complexos e significativos durante a execução de um projeto.	O professor aplica punições severas para garantir a disciplina durante o uso do laboratório de informática.	As atividades recreativas são intercaladas com testes cronometrados de cálculo mental rigoroso.	O software educacional apresenta níveis impossíveis de serem concluídos, forçando a desistência técnica.	Alternativa A	O prazer intelectual deriva do esforço e da superação de obstáculos reais, não da facilidade.	Média
157	A "Bricolage" (Bricolagem) na programação, conforme estudada por Sherry Turkle e Seymour Papert, define um estilo cognitivo que valoriza:	A aproximação iterativa, a experimentação direta com fragmentos de código e a negociação contínua com os materiais, em oposição ao planejamento dedutivo rígido.	O desenvolvimento prévio de diagramas lógicos complexos antes da escrita da primeira linha de código no computador.	A rejeição de recursos computacionais em favor da construção exclusiva de modelos mecânicos em madeira.	A execução de algoritmos matemáticos padronizados sem qualquer alteração na estrutura predefinida.	Alternativa A	Trata-se do pensamento que constrói a partir da organização progressiva dos elementos disponíveis no processo.	Difícil
158	No pilar "Paixão" (Passion), a Aprendizagem Criativa argumenta que a motivação intrínseca é ativada quando:	Os alunos têm autonomia para trabalhar em projetos que se conectam aos seus próprios interesses, cultura e experiências de vida.	A escola oferece recompensas financeiras ou notas extras para os projetos entregues no prazo estabelecido.	As atividades são padronizadas para garantir que todos os alunos desenvolvam o mesmo tema simultaneamente.	O professor seleciona exclusivamente tópicos de alta complexidade técnica exigidos pelo mercado corporativo.	Alternativa A	A conexão afetiva com o tema de estudo atua como combustível para a persistência diante das dificuldades técnicas.	Fácil
159	No pilar "Pares" (Peers), a interação em comunidades como a do Scratch baseia-se prioritariamente no conceito de:	Colaboração horizontal, onde os usuários podem visualizar o código ("see inside"), remixar projetos e atuar simultaneamente como aprendizes e mentores.	Competição algorítmica rigorosa para determinar quem possui o código mais eficiente e livre de falhas (bugs).	Isolamento produtivo, garantindo que o código desenvolvido permaneça confidencial para proteger direitos de propriedade intelectual da escola.	Subordinação técnica, na qual alunos iniciantes apenas executam tarefas delegadas por programadores seniores.	Alternativa A	A estrutura de rede permite que o conhecimento seja distribuído e apropriado socialmente através de iterações conjuntas.	Média
160	No contexto do pilar "Projetos" (Projects), a distinção pedagógica entre um projeto autoral e um "quebra-cabeças" (puzzle) reside no fato de que:	Um projeto permite múltiplos resultados válidos e caminhos divergentes de expressão, enquanto o quebra-cabeças possui uma única solução correta predeterminada pelo seu criador.	Os quebra-cabeças requerem mais criatividade, pois impõem restrições lógicas absolutas e inflexíveis.	Os projetos são restritos a disciplinas de artes visuais, não sendo aplicáveis ao ensino de pensamento computacional.	Os projetos não permitem avaliação formativa, sendo os quebra-cabeças a única métrica de aprendizagem viável.	Alternativa A	O foco do projeto está na intencionalidade do aluno, enquanto o quebra-cabeças foca na descoberta da intenção do autor do problema.	Média
161	O pilar "Pensar Brincando" (Play) na Aprendizagem Criativa é definido não como uma atividade recreativa específica, mas como:	Uma atitude de experimentação, exploração contínua, disposição para testar limites e encarar falhas como iterações normais do processo.	A ausência total de regras e objetivos dentro de um ambiente escolar não supervisionado por educadores.	O uso obrigatório de videogames comerciais para o ensino de conceitos de física e matemática avançadas.	A recompensa fornecida ao final da aula aos alunos que terminaram rapidamente as planilhas de exercícios padronizados.	Alternativa A	Trata-se de uma postura investigativa em relação ao mundo e aos materiais, minimizando o medo do erro.	Fácil
162	Na Espiral da Aprendizagem Criativa, a etapa "Imaginar" (Imagine) tem a finalidade de:	Incentivar a formulação de ideias, conexões e possibilidades antes do engajamento com as ferramentas de construção, baseando-se nas vivências e desejos do aluno.	Fornecer aos alunos instruções passo a passo detalhadas para evitar desvios no projeto predeterminado pelo currículo.	Avaliar precocemente a viabilidade financeira e técnica do projeto para fins de aprovação governamental.	Exigir a memorização da documentação técnica do software que será utilizado no laboratório maker.	Alternativa A	A fase inicial exige abertura divergente para delinear intenções e interesses.	Média
163	Durante a etapa "Criar" (Create) da Espiral da Aprendizagem Criativa, o aprendiz passa pelo processo de transformar ideias em códigos ou artefatos. O desafio pedagógico principal nesta fase é:	Manter o engajamento perante a dissonância entre a intenção imaginada e as dificuldades técnicas e lógicas da execução, promovendo a resolução ativa de problemas.	Garantir que os alunos não consultem materiais externos ou conversem com os colegas, mantendo o foco individual e o silêncio.	Forçar o término do artefato no menor tempo possível para cumprir a grade de horário escolar rigidamente definida.	Evitar qualquer tipo de falha técnica, fornecendo a resposta estrutural ao primeiro sinal de dificuldade de compilação.	Alternativa A	A passagem da concepção abstrata para a manifestação material envolve o gerenciamento de frustrações e ajustes contínuos.	Difícil
164	Na etapa "Brincar" (Play) do desenvolvimento de um projeto, a iteração se manifesta quando o aluno:	Testa o protótipo recém-criado, observa os resultados da execução do código ou mecanismo, e experimenta variações para refinar o funcionamento.	Apresenta o projeto finalizado para uma banca avaliadora com o intuito de obter a nota de encerramento de semestre.	Descarta o projeto inicial ao menor erro lógico e começa a construção de um tema completamente distinto do zero.	Para de interagir com o software educacional e utiliza o hardware para entretenimento sem propósito pedagógico.	Alternativa A	A experimentação contínua com a própria criação gera novos dados para o refinamento (tinkering).	Fácil
165	A etapa "Compartilhar" (Share) na Espiral da Aprendizagem Criativa é considerada um mecanismo de validação e expansão porque:	O projeto ganha uma audiência real, o feedback dos pares introduz novas perspectivas e o artefato torna-se recurso para a comunidade (remix).	Permite que o professor identifique casos de plágio de código e aplique as penalidades correspondentes no boletim escolar.	Gera relatórios automatizados de tempo de tela para controle parental e monitoramento das secretarias de educação.	É o momento em que a escola pode comercializar o software desenvolvido para recuperar os custos do laboratório maker.	Alternativa A	A dimensão social do projeto consolida o sentido de pertencimento e acelera a inovação em rede.	Média
166	Na etapa "Refletir" (Reflect) da Espiral da Aprendizagem Criativa, o objetivo cognitivo é que o aluno:	Analise de forma metacognitiva as decisões tomadas, os erros solucionados e o processo percorrido, estruturando a experiência em conhecimento transferível e novas imaginações.	Preencha formulários de avaliação de desempenho dos colegas de equipe para gerar uma nota média por grupo.	Justifique os atrasos na entrega do projeto utilizando argumentos técnicos para evitar penalizações burocráticas.	Memorize o código final exato para garantir a reprodução precisa do mesmo projeto em provas futuras isoladas.	Alternativa A	Pensar sobre o próprio pensamento fecha o ciclo e prepara a base empírica para a próxima iteração.	Média
167	O papel do facilitador na Aprendizagem Criativa desloca-se de "transmissor de conteúdo" para "catalisador de experiências". Isso significa que o educador deve:	Criar as condições ambientais, fornecer "andaimes" adequados (scaffolding) e fazer perguntas que impulsionem a autonomia e a reflexão do aprendiz no desenvolvimento do projeto.	Dominar absolutamente todos os recursos técnicos das linguagens de programação para ditar as soluções diretas aos estudantes com rapidez.	Abdicar de qualquer planejamento prévio das sessões estruturadas, deixando a aprendizagem a cargo exclusivo do acaso e da vontade dos alunos.	Concentrar-se unicamente na métrica de avaliação padronizada, ignorando o percurso individual e o contexto sócio-emocional do estudante.	Alternativa A	A facilitação orienta a investigação, conectando recursos e provocando novas linhas de raciocínio, sem retirar a agência do sujeito.	Média
168	Para Seymour Papert, um "Objeto para pensar" (Object-to-think-with) é uma entidade física ou virtual que:	Permite ao aprendiz ancorar, explorar e testar conceitos teóricos ou abstratos, relacionando-os com suas intuições e experiências corpóreas (sintonia).	Serve como prêmio visual concedido pelo professor aos estudantes com melhor desempenho métrico nas avaliações teóricas do bimestre escolar.	Atua como uma distração necessária nos laboratórios para os momentos em que o conteúdo formal se torna demasiadamente complexo e inacessível.	Tem como função exclusiva o treinamento motor fino sem exigir nenhum nível de processamento cognitivo consciente ou planejamento sequencial.	Alternativa A	O objeto atua como uma interface maleável entre o pensamento formal e a manipulação tátil ou visual.	Difícil
169	No contexto do Construcionismo, os "Micromundos" (Microworlds) são projetados como:	Ambientes circunscritos regidos por conjuntos de leis lógicas consistentes, nos quais os aprendizes podem formular hipóteses, operar variáveis e observar comportamentos sistêmicos.	Laboratórios físicos com equipamentos em escala reduzida destinados a minimizar os custos operacionais de instituições públicas de ensino.	Bancos de dados acadêmicos restritos que armazenam o histórico de notas e o comportamento disciplinar dos alunos do ensino fundamental.	Fases de jogos de computador comerciais que não possuem qualquer correlação com habilidades de pensamento computacional ou lógica matemática.	Alternativa A	O domínio de leis claras e limitadas permite a investigação científica e a dedução lógica a partir da interação empírica.	Difícil
170	Ideias Poderosas (Powerful Ideas), segundo Papert, caracterizam-se por:	Conectar domínios de conhecimento distintos, ter raízes na intuição pessoal do aluno e fornecer novas formas de pensar, descrever e agir no mundo, não sendo apenas fatos a memorizar.	Constituírem teorias pedagógicas aplicáveis unicamente à formação acadêmica de nível superior em áreas de exatas e engenharias aplicadas.	Serem patentes tecnológicas de exclusividade corporativa que geram altos dividendos econômicos e revolucionam os mercados globais de informática.	Serem algoritmos criptográficos que garantem a segurança de informações pessoais dentro de ecossistemas educacionais fechados e monitorados.	Alternativa A	São marcos epistemológicos que transformam permanentemente a organização cognitiva e a percepção do indivíduo sobre a realidade.	Difícil
171	A "Fluência Tecnológica" difere da "Alfabetização Digital" (Computer Literacy) porque a fluência exige:	A capacidade de expressar ideias complexas, projetar soluções e articular pensamentos através da tecnologia, em vez de apenas saber operar sistemas ou consumir mídias.	O domínio teórico aprofundado da arquitetura de processadores (hardware) e de redes de roteamento avançado sem aplicação em softwares de alto nível.	A velocidade e a precisão na digitação em teclados padronizados, somadas ao uso eficiente de pacotes corporativos de edição de texto e planilhas financeiras.	A certificação obtida exclusivamente através de exames técnicos elaborados por corporações de software globais para fins de recrutamento profissional.	Alternativa A	Fluência é a passagem da leitura para a escrita autoral plena no meio digital.	Média
172	O "Tinkering" é uma abordagem pedagógica definida por:	Um processo iterativo de resolução de problemas e criação, caracterizado por improvisação, experimentação com materiais (bricolage) e reação contínua ao feedback do objeto em construção.	A execução sequencial e rigorosa de diagramas de engenharia complexos para garantir que não haja necessidade de refação de peças estruturais.	O foco exclusivo em manutenção mecânica padronizada de computadores escolares antigos para o treinamento técnico vocacional de nível básico.	A elaboração de hipóteses teóricas abstratas sem a necessidade de prototipação física ou comprovação através de programação.	Alternativa A	Trata-se de "pensar com as mãos", interagindo com a incerteza material e ajustando o plano inicial de acordo com os resultados imediatos.	Média
173	O princípio do "Pluralismo Epistemológico" na Aprendizagem Criativa defende que:	Deve haver validação acadêmica e suporte metodológico para diferentes formas de pensar e criar, incluindo as abordagens analíticas formais e os estilos de exploração concreta e negociada.	O ensino de tecnologia exige a adoção de um modelo mental padronizado e universal, erradicando abordagens idiossincráticas ou intuitivas de desenvolvimento de software.	O currículo deve ser rigidamente estruturado com base exclusivamente na matemática discreta e na lógica de algoritmos sequenciais clássicos para garantir o rigor técnico.	Os recursos de infraestrutura devem ser distribuídos apenas para alunos que demonstrem aptidão para linguagens de programação procedurais baseadas em texto estruturado.	Alternativa A	Reconhece a multiplicidade de processos cognitivos válidos na resolução de problemas e na apropriação do conhecimento computacional.	Difícil
174	Na Aprendizagem Criativa, a avaliação formativa contínua opõe-se à avaliação somativa estrita ao privilegiar:	O acompanhamento documentado do percurso de construção, das escolhas de design, da depuração de erros e do grau de colaboração, em vez de focar apenas no código final ou em exames padronizados.	A medição automatizada e em tempo real do número de blocos de comando utilizados no projeto, gerando uma nota quantitativa direta no encerramento do semestre.	O uso intensivo de testes semanais com questões de múltipla escolha para ranquear o desempenho lógico individual em um quadro geral comparativo da turma escolar.	A exclusão completa de qualquer métrica de evolução, assumindo que o processo criativo não pode ser objeto de reflexão pedagógica estruturada sob nenhuma circunstância.	Alternativa A	O registro do processo (portfólio, diário de bordo) é a evidência real da acomodação do conhecimento.	Média
175	O princípio de "Paredes Amplas" (Wide Walls) é implementado de forma prática no desenvolvimento curricular quando a escola:	Proporciona materiais e plataformas que permitem aos alunos projetarem animações artísticas, robôs para feiras de ciências ou jogos matemáticos na mesma aula, conforme os interesses variados.	Força todos os alunos a programarem soluções idênticas para os mesmos desafios propostos nos manuais didáticos, a fim de simplificar o trabalho da coordenação pedagógica na atribuição de notas.	Destina laboratórios gigantescos para o ensino de informática, removendo as divisórias físicas para alocar o máximo possível de alunos no mesmo ambiente sob supervisão centralizada.	Substitui linguagens de programação abertas por aplicativos específicos de treinamento técnico para certificação em banco de dados.	Alternativa A	Garante infraestrutura metodológica para sustentar caminhos paralelos e diferentes temas de pesquisa.	Fácil
176	O ato de depurar (debugging), muitas vezes evitado no ensino tradicional, é pedagogicamente estruturante no Construcionismo pois:	Exige que o aprendiz explicite e confronte seu modelo lógico interno (o que ele instruiu) com o comportamento empírico do sistema (o que a máquina executou), refinando as estratégias de metacognição e análise sistemática.	Serve como mecanismo punitivo natural que induz a disciplina e a concentração prolongada em alunos com perfis de comportamento divergentes no contexto escolar regular.	Sinaliza aos gestores escolares que as ferramentas de software adquiridas apresentam falhas de desenvolvimento e requerem substituição imediata por versões comerciais corporativas estáveis.	Comprova a ineficácia do ensino de programação no ensino fundamental, justificando a limitação do currículo tecnológico aos graus acadêmicos de nível superior.	Alternativa A	O erro atua como fonte rica de dados para a investigação empírica sobre a estrutura do próprio pensamento lógico.	Difícil
177	A inclusão de atividades "Desplugadas" (Unplugged) em roteiros de Aprendizagem Criativa é recomendada porque:	Permite a exploração cinestésica e social de conceitos fundamentais da computação (como algoritmos, variáveis e redes) de forma tátil, abstraindo a complexidade técnica dos hardwares reais.	Isenta a instituição educacional da obrigação de investir em computadores para o laboratório de tecnologia da informação e comunicação.	Assegura que os estudantes foquem exclusivamente em memorização teórica sem a necessidade de prototipar sistemas ou aplicar a lógica resolutiva empiricamente.	Reduz os riscos associados à eletricidade e ao descarte de resíduos tecnológicos no meio ambiente escolar.	Alternativa A	A compreensão da lógica muitas vezes é acelerada quando desacoplada da sintaxe e mediada por materiais físicos familiares.	Média
178	A expansão do Movimento Maker nas escolas, quando alinhada ao Construcionismo autêntico, evita que os "Makerspaces" se transformem em:	Meras oficinas de montagem padronizada, priorizando o uso de ferramentas de alta tecnologia para construir réplicas idênticas, sem agência, reflexão crítica ou resolução de problemas genuínos.	Centros comunitários de reparação de eletrônicos para o entorno urbano, desvirtuando o objetivo pedagógico oficial e a carga horária estabelecida para o ensino fundamental e médio tecnológico.	Locais de pesquisa pura isolados dos demais espaços da escola, onde apenas alunos convidados de alto desempenho em matemática e física podem atuar de forma livre e não estruturada.	Ambientes onde a criação de artefatos artísticos e literários tem a mesma precedência e validação técnica e curricular que o desenvolvimento de modelos em ciência e engenharia avançada.	Alternativa A	O equipamento avançado (impressoras 3D, corte a laser) não garante aprendizagem se o design da atividade for fechado e instrucionista.	Difícil
179	O conceito de "Janela de Vidro" (Glass Box) aplicado a interfaces e materiais educacionais contrapõe-se à "Caixa Preta" ao exigir que a tecnologia:	Torne transparentes os seus mecanismos de funcionamento, estrutura e lógica subjacente, viabilizando que o estudante aproprie-se do funcionamento interno e exerça engenharia reversa para compreensão ou modificação sistêmica.	Utilize visores físicos translúcidos no gabinete do computador para que as crianças visualizem as conexões de hardware por motivos puramente estéticos em eventos de demonstração para a comunidade escolar pública.	Seja totalmente bloqueada para edição do código fonte, protegendo a integridade dos arquivos essenciais do sistema operacional e evitando manutenções onerosas nos laboratórios mantidos pela prefeitura.	Apresente menus simplificados e fechados que abstraiam completamente as linguagens de baixo nível para que o usuário não necessite raciocinar logicamente durante o seu tempo de uso.	Alternativa A	A transparência tecnológica convida à inspeção do sistema, promovendo a curiosidade e o letramento técnico profundo.	Média
180	Na avaliação do ecossistema de Aprendizagem Criativa, a "Agência" (Agency) do aprendiz é mensurada qualitativamente quando se observa o grau em que o estudante:	Exerce protagonismo ativo nas escolhas operacionais, tem poder para alterar o rumo metodológico do projeto, impõe significados pessoais ao desenvolvimento do artefato e não atua como mero executor de passos definidos exogenamente.	Delega o comando da programação estrutural aos colegas mais eficientes, focando exclusivamente nas etapas de documentação escrita, edição de imagens e formatação dos textos de apresentação para os facilitadores no final da aula.	Concorda irrestritamente com o manual do equipamento tecnológico e segue o cronograma letivo governamental sem questionamentos práticos ou teóricos que gerem atrasos no fluxo do planejamento central.	Substitui frequentemente o hardware oficial da escola por dispositivos particulares para burlar os sistemas de segurança e acessar domínios externos à intranet para obtenção de blocos lógicos genéricos prontos da web.	Alternativa A	A presença de agência caracteriza-se pela autoria e controle efetivo exercido pelo aprendiz sobre o processo e sobre a máquina.	Difícil
181	O relato de Seymour Papert sobre sua fascinação infantil por engrenagens é utilizado para ilustrar qual princípio fundamental da aprendizagem?	A importância do afeto e da conexão pessoal com um objeto para facilitar a compreensão de modelos matemáticos abstratos.	A necessidade de introduzir engenharia mecânica no currículo da educação infantil de forma obrigatória e estruturada.	O argumento de que crianças que brincam com metais desenvolvem raciocínio lógico mais rapidamente do que as que brincam com blocos de montar.	A superioridade dos componentes mecânicos sobre os componentes eletrônicos no desenvolvimento da fluência tecnológica.	Alternativa A	Considere a relação entre o sentimento do aprendiz e a assimilação de um conceito complexo.	Difícil
182	No contexto da Aprendizagem Criativa, como a prática da "Remixagem" (Remixing) redefine o conceito de plágio em ambientes educacionais digitais?	A remixagem é tratada como uma prática legítima de aprendizagem colaborativa e apropriação cultural, desde que os créditos ao autor original sejam explicitamente atribuídos.	A remixagem é rigorosamente banida, e os alunos que copiam blocos de código são expulsos das plataformas de criação para preservar a propriedade intelectual.	A remixagem é permitida apenas para os professores, que podem alterar os projetos dos alunos sem a necessidade de dar créditos.	A remixagem é considerada um crime cibernético e as escolas devem instalar softwares de bloqueio para impedir a visualização do código fonte.	Alternativa A	Pense na cultura do software de código aberto (open-source) e na construção coletiva do conhecimento.	Média
183	Qual é o efeito de um ambiente de aprendizagem focado exclusivamente em "Pisos Baixos" (Low Floors), mas desprovido de "Tetos Altos" (High Ceilings)?	Os alunos iniciam os projetos facilmente, mas rapidamente esgotam as possibilidades da ferramenta, perdendo o engajamento devido à falta de desafios complexos.	Os alunos são incapazes de dar o primeiro passo na atividade, gerando frustração imediata e abandono do projeto nos primeiros minutos.	O ambiente torna-se ideal para alunos universitários, que preferem ferramentas simplificadas para otimizar o tempo de produção.	A escola economiza recursos financeiros, pois a ferramenta nunca precisará ser atualizada ou substituída ao longo dos anos letivos.	Alternativa A	Avalie o que acontece quando o aprendiz supera a barreira inicial, mas a ferramenta não acompanha sua evolução cognitiva.	Média
184	A "Sintonia Corporal" (Body Syntonicity), explorada no ambiente da Tartaruga Logo, facilita o aprendizado de geometria porque:	Permite que o aluno utilize o conhecimento intuitivo sobre os movimentos do seu próprio corpo no espaço para instruir e compreender os deslocamentos da máquina.	Exige que o aluno realize exercícios físicos aeróbicos rigorosos antes de sentar-se em frente ao computador para programar.	Substitui o teclado do computador por sensores de movimento complexos, eliminando a necessidade de raciocínio lógico abstrato.	Condiciona a execução do código à frequência cardíaca do aluno, medida através de dispositivos vestíveis padronizados.	Alternativa A	Relacione a abstração matemática com a experiência cinestésica e espacial do indivíduo.	Difícil
185	Ao observar um aluno travado em um projeto, a abordagem de "Scaffolding" (Andaimes) recomenda que o facilitador:	Faça perguntas orientadoras que ajudem o aluno a dividir o problema em partes menores, fornecendo o suporte mínimo necessário para que ele avance com autonomia.	Assuma o controle do mouse e do teclado para corrigir o erro rapidamente, garantindo que a aula termine no horário estipulado pela coordenação.	Sugira que o aluno abandone a programação computacional e realize uma atividade de leitura no livro didático padronizado.	Ignore o aluno completamente, partindo do princípio de que o Construcionismo exige a resolução de problemas em isolamento absoluto.	Alternativa A	O suporte deve ser temporário e proporcional à dificuldade, visando a independência do aprendiz.	Média
